Column_A,Column_B,Correlation,P_value,FDR
C8-pos_Cluster_1851,Diagnosis,-0.23452949387858893,0.0067941149584472785,0.01207647240559518
C8-pos_Cluster_1955,Diagnosis,-0.18666074102291275,0.03210959659714409,0.04738762667883657
HILIC-neg_Cluster_0614,Diagnosis,-0.6018691050211046,2.2985618850524094e-14,2.310037683606647e-12
C8-pos_Cluster_0735,Diagnosis,-0.3209503206423985,0.00017533782739425458,0.0005173766633853019
HILIC-pos_Cluster_1356,Diagnosis,-0.2668775938178388,0.001979222767926091,0.0041208943057489626
C8-pos_Cluster_2238,Diagnosis,-0.1314769590748514,0.13291145111813887,0.16687771084832992
C18-neg_Cluster_0120,Diagnosis,-0.29755004338002666,0.0005304339521072844,0.0013199787837224312
HILIC-pos_Cluster_0006,Diagnosis,0.13033937115437044,0.13632823719688578,0.17073652275640203
HILIC-neg_Cluster_0279,Diagnosis,0.2968219003029976,0.0005482265324148178,0.0013574613143259332
HILIC-neg_Cluster_0197,Diagnosis,0.20052290156487426,0.02114486375603941,0.032670062956814155
C8-pos_Cluster_1914,Diagnosis,-0.3533776483696891,3.2344820830531035e-05,0.00012476217934010884
HILIC-neg_Cluster_1621,Diagnosis,-0.40243589781980404,1.7226392078490576e-06,1.0560989076973507e-05
HILIC-pos_Cluster_1460,Diagnosis,-0.23298693979173074,0.007178255774636889,0.012638203863843702
C8-pos_Cluster_0030,Diagnosis,0.010755531539122365,0.9025823430458203,0.9169675949374374
C18-neg_Cluster_0365,Diagnosis,-0.2917251937457375,0.00068898838841797,0.0016541044264674779
HILIC-neg_Cluster_0023,Diagnosis,0.1391888491083958,0.11145070152522905,0.14259724343372077
HILIC-pos_Cluster_1921,Diagnosis,0.18054777374189368,0.03829683234045384,0.05540059656582383
HILIC-pos_Cluster_1121,Diagnosis,0.016092371998299135,0.8546876767085232,0.8734855351685051
C18-neg_Cluster_1851,Diagnosis,0.02711219414048674,0.7576338584147415,0.7854369357877596
C8-pos_Cluster_0428,Diagnosis,-0.27695221608773785,0.0013053566447500814,0.002845345566723983
C18-neg_Cluster_0109,Diagnosis,-0.4145737745810249,7.731337205014736e-07,5.309421075046031e-06
C8-pos_Cluster_1076,Diagnosis,-0.3787132427352002,7.5471567644110784e-06,3.686096604386236e-05
HILIC-pos_Cluster_0683,Diagnosis,-0.2987851031683318,0.0005014660996763271,0.0012586014374511348
C8-pos_Cluster_2251,Diagnosis,-0.017949401787078094,0.838136300576968,0.8586881694763414
C18-neg_Cluster_1062,Diagnosis,-0.28417833273913884,0.0009590811325868688,0.0021834026516583845
