Column_A,Column_B,Correlation,P_value,FDR
C18-neg_Cluster_0193,Diagnosis,0.5350284297660738,3.8742380773276035e-11,1.8456016224009046e-09
C18-neg_Cluster_0196,Diagnosis,-0.356736573755224,2.6856528139255604e-05,0.00017434083710648096
C18-neg_Cluster_0197,Diagnosis,-0.44140874033186134,1.1719128510976052e-07,1.8549346881058339e-06
C18-neg_Cluster_0198,Diagnosis,0.31941024911001814,0.00018912347921881044,0.0008701843703213909
C18-neg_Cluster_0199,Diagnosis,-0.37572943661052505,9.015824000450291e-06,7.065722830468042e-05
C18-neg_Cluster_0200,Diagnosis,0.27409377883232333,0.001471323790610326,0.00481445003673083
C18-neg_Cluster_0201,Diagnosis,0.3250421678600688,0.00014311467679776677,0.0006889437760101417
C18-neg_Cluster_0205,Diagnosis,-0.4363308985755282,1.6959363656039933e-07,2.5390262204507837e-06
C18-neg_Cluster_0206,Diagnosis,-0.39349135184630657,3.047622273339268e-06,2.859529361029252e-05
C18-neg_Cluster_0207,Diagnosis,-0.4323080959310905,2.2632282263891256e-07,3.240298276228314e-06
C18-neg_Cluster_0209,Diagnosis,-0.27622312794312537,0.0013459830585111196,0.004460396292773928
C18-neg_Cluster_0210,Diagnosis,-0.3085486915206346,0.0003188641848187517,0.0013402899321977744
C18-neg_Cluster_0211,Diagnosis,0.22366763035915624,0.009935916534722193,0.02370476783217399
C18-neg_Cluster_0214,Diagnosis,0.6091629320172677,9.177284846184382e-15,1.804458140423098e-12
C18-neg_Cluster_0215,Diagnosis,-0.2060365646130225,0.017780677777751674,0.03840904223084639
C18-neg_Cluster_0216,Diagnosis,-0.3037476888392201,0.00039916210557364715,0.0016183553796147636
C18-neg_Cluster_0217,Diagnosis,-0.41164252614821906,9.408865510660948e-07,1.0511318439182837e-05
C18-neg_Cluster_0219,Diagnosis,-0.23372462812710393,0.006992209459613873,0.01774729469267457
C18-neg_Cluster_0222,Diagnosis,-0.20636959419828624,0.01759323420862823,0.03807850691730493
C18-neg_Cluster_0223,Diagnosis,-0.35682228080678347,2.6728672250667282e-05,0.00017376582812189868
C18-neg_Cluster_0225,Diagnosis,-0.22326535044843834,0.010073559200413649,0.02397279499872511
C18-neg_Cluster_0226,Diagnosis,-0.32866268705652996,0.0001192897462470877,0.000590971822393187
C18-neg_Cluster_0227,Diagnosis,-0.34887681657932734,4.136124847019213e-05,0.0002491247967762151
C18-neg_Cluster_0229,Diagnosis,0.4119815076843638,9.198480924761761e-07,1.0347681921366282e-05
C18-neg_Cluster_0230,Diagnosis,-0.4019033743033872,1.7829867207777493e-06,1.8174961411798994e-05
C18-neg_Cluster_0231,Diagnosis,0.6091629320172677,9.177284846184382e-15,1.804458140423098e-12
C18-neg_Cluster_0232,Diagnosis,-0.3221563003270455,0.00016520118968013143,0.000777086723173739
C18-neg_Cluster_0234,Diagnosis,-0.5158518395879073,2.4503981486825263e-10,9.077380659884627e-09
C18-neg_Cluster_0236,Diagnosis,0.21240379285905484,0.014481568661837177,0.032381329168545706
C18-neg_Cluster_0237,Diagnosis,0.5999809532879339,2.9042535768211814e-14,4.758673268095151e-12
